relevance,shrink_mode,lambda,ROC AUC,replication
15,hs_entropy,50.0,0.6572120232664886,0
15,hs_entropy,100.0,0.6893421082798821,0
15,hs_log_cardinality,0.0,0.5435329037070982,0
15,hs_log_cardinality,0.1,0.5435329037070982,0
15,hs_log_cardinality,1.0,0.5435329037070982,0
15,hs_log_cardinality,10.0,0.5604877578315471,0
15,hs_log_cardinality,25.0,0.6202819445437648,0
15,hs_log_cardinality,50.0,0.6611728075802141,0
15,hs_log_cardinality,100.0,0.6893421082798821,0
15,hs_permutation,0.0,0.5435329037070982,0
15,hs_permutation,0.1,0.5709485635846725,0
15,hs_permutation,1.0,0.5714035094386325,0
15,hs_permutation,10.0,0.6123451606512991,0
15,hs_permutation,25.0,0.6290152829979005,0
15,hs_permutation,50.0,0.6477865371933791,0
15,hs_permutation,100.0,0.6706392298797142,0
15,hs_global_permutation,0.0,0.5435329037070982,0
15,hs_global_permutation,0.1,0.5634386283663362,0
15,hs_global_permutation,1.0,0.5717985468862357,0
15,hs_global_permutation,10.0,0.6106951694102517,0
15,hs_global_permutation,25.0,0.6427572007492917,0
15,hs_global_permutation,50.0,0.6617104332694856,0
15,hs_global_permutation,100.0,0.6740961719425524,0
20,hs,0.0,0.5756950267389853,0
20,hs,0.1,0.5756950267389853,0
20,hs,1.0,0.5756950267389853,0
20,hs,10.0,0.5858253648448992,0
20,hs,25.0,0.5964493497108347,0
20,hs,50.0,0.61071391501513,0
20,hs,100.0,0.6444237649307522,0
20,hs_entropy,0.0,0.5756950267389853,0
20,hs_entropy,0.1,0.5756950267389853,0
20,hs_entropy,1.0,0.5756950267389853,0
20,hs_entropy,10.0,0.5912934316596083,0
20,hs_entropy,25.0,0.6214084749175981,0
20,hs_entropy,50.0,0.6773944420156144,0
20,hs_entropy,100.0,0.6998555164861167,0
20,hs_log_cardinality,0.0,0.5756950267389853,0
20,hs_log_cardinality,0.1,0.5756950267389853,0
20,hs_log_cardinality,1.0,0.5756950267389853,0
20,hs_log_cardinality,10.0,0.589237057348561,0
20,hs_log_cardinality,25.0,0.6206097314810659,0
20,hs_log_cardinality,50.0,0.681203800128878,0
20,hs_log_cardinality,100.0,0.6998555164861167,0
20,hs_permutation,0.0,0.5756950267389853,0
20,hs_permutation,0.1,0.5914354097274324,0
20,hs_permutation,1.0,0.5956129182525667,0
20,hs_permutation,10.0,0.6436804640152535,0
20,hs_permutation,25.0,0.6701800075614236,0
20,hs_permutation,50.0,0.6878729069861961,0
20,hs_permutation,100.0,0.701988147203687,0
20,hs_global_permutation,0.0,0.5756950267389853,0
20,hs_global_permutation,0.1,0.5919670769652641,0
20,hs_global_permutation,1.0,0.5999965268050881,0
20,hs_global_permutation,10.0,0.6353190323209246,0
20,hs_global_permutation,25.0,0.6546394157562043,0
20,hs_global_permutation,50.0,0.6809872059471207,0
20,hs_global_permutation,100.0,0.696610408388829,0
00,hs,0.0,0.5069788242984365,1
00,hs,0.1,0.5069788242984365,1
00,hs,1.0,0.5069788242984365,1
00,hs,10.0,0.5103471257243426,1
00,hs,25.0,0.5123567234937085,1
00,hs,50.0,0.5034420474383016,1
00,hs,100.0,0.5097517269375661,1
00,hs_entropy,0.0,0.5069788242984365,1
00,hs_entropy,0.1,0.5069788242984365,1
00,hs_entropy,1.0,0.5069788242984365,1
00,hs_entropy,10.0,0.5136689471374065,1
00,hs_entropy,25.0,0.5129035295806241,1
00,hs_entropy,50.0,0.5130074174835793,1
00,hs_entropy,100.0,0.5097129540968153,1
00,hs_log_cardinality,0.0,0.5069788242984365,1
00,hs_log_cardinality,0.1,0.5069788242984365,1
00,hs_log_cardinality,1.0,0.5069788242984365,1
00,hs_log_cardinality,10.0,0.5107985786711472,1
00,hs_log_cardinality,25.0,0.5129689613608129,1
00,hs_log_cardinality,50.0,0.5150912478809418,1
00,hs_log_cardinality,100.0,0.5171003748163752,1
00,hs_permutation,0.0,0.5069788242984365,1
00,hs_permutation,0.1,0.49016305961851286,1
00,hs_permutation,1.0,0.4998124853712187,1
00,hs_permutation,10.0,0.5059310210128994,1
00,hs_permutation,25.0,0.5054602751036217,1
00,hs_permutation,50.0,0.5179238662390351,1
00,hs_permutation,100.0,0.529585853168064,1
00,hs_global_permutation,0.0,0.5069788242984365,1
00,hs_global_permutation,0.1,0.5063094747746252,1
00,hs_global_permutation,1.0,0.5096117290096526,1
00,hs_global_permutation,10.0,0.5077831017283561,1
00,hs_global_permutation,25.0,0.511858675917414,1
00,hs_global_permutation,50.0,0.5175948324971469,1
00,hs_global_permutation,100.0,0.5184849636816232,1
05,hs,0.0,0.4833898924308607,1
05,hs,0.1,0.4833898924308607,1
05,hs,1.0,0.4833898924308607,1
05,hs,10.0,0.48006195561137677,1
05,hs,25.0,0.47847411846287036,1
05,hs,50.0,0.472688420386323,1
05,hs,100.0,0.47425245219177947,1
05,hs_entropy,0.0,0.4833898924308607,1
05,hs_entropy,0.1,0.4833898924308607,1
05,hs_entropy,1.0,0.4833898924308607,1
05,hs_entropy,10.0,0.4833956330665242,1
05,hs_entropy,25.0,0.47298221342763586,1
05,hs_entropy,50.0,0.4707715737727039,1
05,hs_entropy,100.0,0.4718793575673742,1
05,hs_log_cardinality,0.0,0.4833898924308607,1
05,hs_log_cardinality,0.1,0.4833898924308607,1
05,hs_log_cardinality,1.0,0.4833898924308607,1
05,hs_log_cardinality,10.0,0.48414781396496487,1
05,hs_log_cardinality,25.0,0.4782988746239166,1
05,hs_log_cardinality,50.0,0.47650516190679026,1
05,hs_log_cardinality,100.0,0.47203151318515146,1
05,hs_permutation,0.0,0.4833898924308607,1
05,hs_permutation,0.1,0.47438551858670996,1
05,hs_permutation,1.0,0.4746569599478766,1
05,hs_permutation,10.0,0.4844411631483972,1
05,hs_permutation,25.0,0.4779919550453128,1
05,hs_permutation,50.0,0.4727594031273837,1
05,hs_permutation,100.0,0.48030177679948916,1
05,hs_global_permutation,0.0,0.4833898924308607,1
05,hs_global_permutation,0.1,0.4821048344487718,1
05,hs_global_permutation,1.0,0.48339575643914345,1
05,hs_global_permutation,10.0,0.4921843722075453,1
05,hs_global_permutation,25.0,0.5018603500432255,1
05,hs_global_permutation,50.0,0.5122242980207308,1
05,hs_global_permutation,100.0,0.4993379679628827,1
10,hs,0.0,0.5411157920642043,1
10,hs,0.1,0.5411157920642043,1
10,hs,1.0,0.5411157920642043,1
10,hs,10.0,0.5498094837691438,1
10,hs,25.0,0.5435877344435547,1
10,hs,50.0,0.55637230068991,1
10,hs,100.0,0.5772739498854953,1
10,hs_entropy,0.0,0.5411157920642043,1
10,hs_entropy,0.1,0.5411157920642043,1
10,hs_entropy,1.0,0.5411157920642043,1
10,hs_entropy,10.0,0.5448237061685275,1
10,hs_entropy,25.0,0.5683207238612183,1
10,hs_entropy,50.0,0.5854551176155575,1
10,hs_entropy,100.0,0.58782471291431,1
10,hs_log_cardinality,0.0,0.5411157920642043,1
10,hs_log_cardinality,0.1,0.5411157920642043,1
10,hs_log_cardinality,1.0,0.5411157920642043,1
10,hs_log_cardinality,10.0,0.5358522925402125,1
10,hs_log_cardinality,25.0,0.574418584410928,1
10,hs_log_cardinality,50.0,0.5841788033996201,1
10,hs_log_cardinality,100.0,0.5922675477405484,1
10,hs_permutation,0.0,0.5411157920642043,1
10,hs_permutation,0.1,0.5315893708499939,1
10,hs_permutation,1.0,0.5355028868408367,1
10,hs_permutation,10.0,0.5554354465625171,1
10,hs_permutation,25.0,0.5687433206355246,1
10,hs_permutation,50.0,0.5768402914777773,1
10,hs_permutation,100.0,0.5992633591089805,1
10,hs_global_permutation,0.0,0.5411157920642043,1
10,hs_global_permutation,0.1,0.5448272462381156,1
10,hs_global_permutation,1.0,0.5473891305295863,1
10,hs_global_permutation,10.0,0.5668970499271546,1
10,hs_global_permutation,25.0,0.5832442883299064,1
10,hs_global_permutation,50.0,0.5890493975009266,1
