relevance,shrink_mode,lambda,ROC AUC,replication
05,hs_log_cardinality,50.0,0.5373482815732018,0
05,hs_log_cardinality,100.0,0.5492426340375849,0
05,hs_permutation,0.0,0.5006249954361526,0
05,hs_permutation,0.1,0.5083474762115733,0
05,hs_permutation,1.0,0.5135419106000562,0
05,hs_permutation,10.0,0.5294223465331038,0
05,hs_permutation,25.0,0.539417613437339,0
05,hs_permutation,50.0,0.5518326541464182,0
05,hs_permutation,100.0,0.5597571153497529,0
05,hs_global_permutation,0.0,0.5006249954361526,0
05,hs_global_permutation,0.1,0.503985555969774,0
05,hs_global_permutation,1.0,0.509194975315314,0
05,hs_global_permutation,10.0,0.5320295803065684,0
05,hs_global_permutation,25.0,0.5394457083414643,0
05,hs_global_permutation,50.0,0.5496574891868728,0
05,hs_global_permutation,100.0,0.558144413151658,0
10,hs,0.0,0.5222297731491172,0
10,hs,0.1,0.5201144894076316,0
10,hs,1.0,0.5188946720547334,0
10,hs,10.0,0.5386612720720085,0
10,hs,25.0,0.5548287271148267,0
10,hs,50.0,0.564147380159366,0
10,hs,100.0,0.5770629971798936,0
10,hs_entropy,0.0,0.5222297731491172,0
10,hs_entropy,0.1,0.5201144894076316,0
10,hs_entropy,1.0,0.5152607541460608,0
10,hs_entropy,10.0,0.5510765999815044,0
10,hs_entropy,25.0,0.575051848592697,0
10,hs_entropy,50.0,0.592679424466764,0
10,hs_entropy,100.0,0.6053674516929118,0
10,hs_log_cardinality,0.0,0.5222297731491172,0
10,hs_log_cardinality,0.1,0.5191043883975307,0
10,hs_log_cardinality,1.0,0.5192993284148636,0
10,hs_log_cardinality,10.0,0.5555633918759899,0
10,hs_log_cardinality,25.0,0.5781140876064172,0
10,hs_log_cardinality,50.0,0.5965963643351853,0
10,hs_log_cardinality,100.0,0.607180259551476,0
10,hs_permutation,0.0,0.5222297731491172,0
10,hs_permutation,0.1,0.5634058043727167,0
10,hs_permutation,1.0,0.5791687438872455,0
10,hs_permutation,10.0,0.5988329550246968,0
10,hs_permutation,25.0,0.6065264582524098,0
10,hs_permutation,50.0,0.6090494184299807,0
10,hs_permutation,100.0,0.6118531567477377,0
10,hs_global_permutation,0.0,0.5222297731491172,0
10,hs_global_permutation,0.1,0.5665981231873969,0
10,hs_global_permutation,1.0,0.5669614570425674,0
10,hs_global_permutation,10.0,0.5958162286166644,0
10,hs_global_permutation,25.0,0.6055621699599193,0
10,hs_global_permutation,50.0,0.6081148389907284,0
10,hs_global_permutation,100.0,0.609983997869233,0
15,hs,0.0,0.5656526490435111,0
15,hs,0.1,0.565279808240931,0
15,hs,1.0,0.5712328748387995,0
15,hs,10.0,0.5900817971516377,0
15,hs,25.0,0.5983771756170475,0
15,hs,50.0,0.6004747032534185,0
15,hs,100.0,0.6070882406216225,0
15,hs_entropy,0.0,0.5656526490435111,0
15,hs_entropy,0.1,0.565279808240931,0
15,hs_entropy,1.0,0.5755389146196099,0
15,hs_entropy,10.0,0.6013492486485265,0
15,hs_entropy,25.0,0.6130323486313245,0
15,hs_entropy,50.0,0.6229097112831558,0
15,hs_entropy,100.0,0.6317688789571567,0
15,hs_log_cardinality,0.0,0.5656526490435111,0
15,hs_log_cardinality,0.1,0.565279808240931,0
15,hs_log_cardinality,1.0,0.5765389146196099,0
15,hs_log_cardinality,10.0,0.5992590194332973,0
15,hs_log_cardinality,25.0,0.6160125466511265,0
15,hs_log_cardinality,50.0,0.6248712497446942,0
15,hs_log_cardinality,100.0,0.6327688789571567,0
15,hs_permutation,0.0,0.5656526490435111,0
15,hs_permutation,0.1,0.5954312495154648,0
15,hs_permutation,1.0,0.6053863131801637,0
15,hs_permutation,10.0,0.6211729163968922,0
15,hs_permutation,25.0,0.6338615487745971,0
15,hs_permutation,50.0,0.6337688789571567,0
15,hs_permutation,100.0,0.6337688789571567,0
15,hs_global_permutation,0.0,0.5656526490435111,0
15,hs_global_permutation,0.1,0.5901654817298949,0
15,hs_global_permutation,1.0,0.606334346249677,0
15,hs_global_permutation,10.0,0.6221630154067933,0
15,hs_global_permutation,25.0,0.6309701508435953,0
15,hs_global_permutation,50.0,0.6337688789571567,0
15,hs_global_permutation,100.0,0.6337688789571567,0
20,hs,0.0,0.6341070174719212,0
20,hs,0.1,0.6409439316532192,0
20,hs,1.0,0.6431708281575584,0
20,hs,10.0,0.6664563269143345,0
20,hs,25.0,0.6740479463381377,0
20,hs,50.0,0.6825517483530419,0
20,hs,100.0,0.6874444863237171,0
20,hs_entropy,0.0,0.6341070174719212,0
20,hs_entropy,0.1,0.6409439316532192,0
20,hs_entropy,1.0,0.6446376387570576,0
20,hs_entropy,10.0,0.6787514144255142,0
20,hs_entropy,25.0,0.6864968826393303,0
20,hs_entropy,50.0,0.6923415798066503,0
20,hs_entropy,100.0,0.6913314787965492,0
20,hs_log_cardinality,0.0,0.6341070174719212,0
20,hs_log_cardinality,0.1,0.6409439316532192,0
20,hs_log_cardinality,1.0,0.6457014685442917,0
20,hs_log_cardinality,10.0,0.6778168349862618,0
20,hs_log_cardinality,25.0,0.6873977835402313,0
20,hs_log_cardinality,50.0,0.6913314787965492,0
20,hs_log_cardinality,100.0,0.6913314787965492,0
20,hs_permutation,0.0,0.6341070174719212,0
20,hs_permutation,0.1,0.6712624192270651,0
20,hs_permutation,1.0,0.6729686369515495,0
20,hs_permutation,10.0,0.6893512807767472,0
