replication,shrink_mode,lambda,MSE
3,hs,1.0,11.720905573127151
3,hs,10.0,10.982886958980055
3,hs,25.0,10.747801528987685
3,hs,50.0,11.105389203750304
3,hs,100.0,12.292480040992963
3,hs_entropy,0.0,11.874944550530277
3,hs_entropy,0.1,11.797311045938716
3,hs_entropy,1.0,11.28239926804813
3,hs_entropy,10.0,10.905202164242407
3,hs_entropy,25.0,12.586455688538592
3,hs_entropy,50.0,14.750966253024625
3,hs_entropy,100.0,17.00398202146576
3,hs_log_cardinality,0.0,11.874944550530277
3,hs_log_cardinality,0.1,11.7928845242877
3,hs_log_cardinality,1.0,11.257241139301794
3,hs_log_cardinality,10.0,10.890054845819218
3,hs_log_cardinality,25.0,12.581850362445948
3,hs_log_cardinality,50.0,14.749947082944981
3,hs_log_cardinality,100.0,17.004117225192143
3,hs_permutation,0.0,11.874944550530277
3,hs_permutation,0.1,12.802378154960243
3,hs_permutation,1.0,12.847545573233509
3,hs_permutation,10.0,11.874802968701166
3,hs_permutation,25.0,11.405481027519713
3,hs_permutation,50.0,11.683044667293615
3,hs_permutation,100.0,12.865437600793623
3,hs_global_permutation,0.0,11.874944550530277
3,hs_global_permutation,0.1,12.81563228259497
3,hs_global_permutation,1.0,12.599477122636227
3,hs_global_permutation,10.0,11.332662434325808
3,hs_global_permutation,25.0,11.117437511571891
3,hs_global_permutation,50.0,11.601120969368466
3,hs_global_permutation,100.0,12.910109928187921
4,hs,0.0,10.116175348197684
4,hs,0.1,10.035652028500213
4,hs,1.0,9.509975225053825
4,hs,10.0,8.762725103439616
4,hs,25.0,9.807358034454268
4,hs,50.0,11.723752630518568
4,hs,100.0,14.569652777976358
4,hs_entropy,0.0,10.116175348197684
4,hs_entropy,0.1,9.990741961175411
4,hs_entropy,1.0,9.323403026742332
4,hs_entropy,10.0,11.110259523359531
4,hs_entropy,25.0,14.845653652542035
4,hs_entropy,50.0,18.3081305599147
4,hs_entropy,100.0,21.417539081644268
4,hs_log_cardinality,0.0,10.116175348197684
4,hs_log_cardinality,0.1,9.990769794019677
4,hs_log_cardinality,1.0,9.321614175475451
4,hs_log_cardinality,10.0,11.1140100888156
4,hs_log_cardinality,25.0,14.849395363638479
4,hs_log_cardinality,50.0,18.310748145856497
4,hs_log_cardinality,100.0,21.41912875325647
4,hs_permutation,0.0,10.116175348197684
4,hs_permutation,0.1,9.925472113631216
4,hs_permutation,1.0,9.294500427269856
4,hs_permutation,10.0,9.104023025759114
4,hs_permutation,25.0,10.508049256031757
4,hs_permutation,50.0,12.575401869681757
4,hs_permutation,100.0,15.401621622464734
4,hs_global_permutation,0.0,10.116175348197684
4,hs_global_permutation,0.1,9.033867143828392
4,hs_global_permutation,1.0,8.664751782702584
4,hs_global_permutation,10.0,8.804835540912531
4,hs_global_permutation,25.0,10.376176779783574
4,hs_global_permutation,50.0,12.579300579173944
4,hs_global_permutation,100.0,15.535604250795032
5,hs,0.0,11.215448251446922
5,hs,0.1,11.158026887686075
5,hs,1.0,10.755910372074124
5,hs,10.0,9.870359560012716
5,hs,25.0,10.830019327566994
5,hs,50.0,12.913723850652934
5,hs,100.0,16.128296192175892
5,hs_entropy,0.0,11.215448251446922
5,hs_entropy,0.1,11.085684739191839
5,hs_entropy,1.0,10.346630908052092
5,hs_entropy,10.0,12.060741777806324
5,hs_entropy,25.0,16.28584444562396
5,hs_entropy,50.0,20.233546827335836
5,hs_entropy,100.0,23.753728420147674
