replication,shrink_mode,lambda,MSE
1,hs_global_permutation,25.0,5.8016870683896045
1,hs_global_permutation,50.0,5.685015588286929
1,hs_global_permutation,100.0,5.671332713046663
2,hs,0.0,9.400717703349283
2,hs,0.1,9.300551761142913
2,hs,1.0,8.628262739111161
2,hs,10.0,6.7131576879637915
2,hs,25.0,6.01896221437705
2,hs,50.0,5.684768605849122
2,hs,100.0,5.55509005645524
2,hs_entropy,0.0,9.400717703349283
2,hs_entropy,0.1,9.244747570706291
2,hs_entropy,1.0,8.238195469872197
2,hs_entropy,10.0,6.054573965094177
2,hs_entropy,25.0,5.688005379700144
2,hs_entropy,50.0,5.7539389463233865
2,hs_entropy,100.0,6.12203776676389
2,hs_log_cardinality,0.0,9.400717703349283
2,hs_log_cardinality,0.1,9.248631182248547
2,hs_log_cardinality,1.0,8.24805590676916
2,hs_log_cardinality,10.0,6.03742980668309
2,hs_log_cardinality,25.0,5.686554442413416
2,hs_log_cardinality,50.0,5.7771825512868675
2,hs_log_cardinality,100.0,6.178748384478788
2,hs_permutation,0.0,9.400717703349283
2,hs_permutation,0.1,7.916576410547946
2,hs_permutation,1.0,7.254979334356322
2,hs_permutation,10.0,5.91274469935655
2,hs_permutation,25.0,5.54642670436386
2,hs_permutation,50.0,5.428067618889537
2,hs_permutation,100.0,5.461513358887357
2,hs_global_permutation,0.0,9.400717703349283
2,hs_global_permutation,0.1,7.859248661823674
2,hs_global_permutation,1.0,7.282464526945428
2,hs_global_permutation,10.0,6.021658486208008
2,hs_global_permutation,25.0,5.651861474512808
2,hs_global_permutation,50.0,5.52206110085481
2,hs_global_permutation,100.0,5.539073331873406
3,hs,0.0,10.526315789473685
3,hs,0.1,10.408367639531102
3,hs,1.0,9.622293226498968
3,hs,10.0,7.3527975916469615
3,hs,25.0,6.4754285910143565
3,hs,50.0,6.004424279713529
3,hs,100.0,5.738589923835379
3,hs_entropy,0.0,10.526315789473685
3,hs_entropy,0.1,10.344138049270613
3,hs_entropy,1.0,9.166008463245158
3,hs_entropy,10.0,6.475766454257683
3,hs_entropy,25.0,5.873459010965454
3,hs_entropy,50.0,5.7568127275563805
3,hs_entropy,100.0,5.929948974224554
3,hs_log_cardinality,0.0,10.526315789473685
3,hs_log_cardinality,0.1,10.351466629147303
3,hs_log_cardinality,1.0,9.190953635170901
3,hs_log_cardinality,10.0,6.463796046423451
3,hs_log_cardinality,25.0,5.866380543074283
3,hs_log_cardinality,50.0,5.7658903214534964
