replication,shrink_mode,lambda,MSE
10,hs_permutation,1.0,4619.0481222780945
10,hs_permutation,10.0,3468.83861466183
10,hs_permutation,25.0,3263.7481193594163
10,hs_permutation,50.0,3285.3738582910814
10,hs_permutation,100.0,3458.345192430683
10,hs_global_permutation,0.0,5468.853932584269
10,hs_global_permutation,0.1,5077.0678611450585
10,hs_global_permutation,1.0,4495.610376144977
10,hs_global_permutation,10.0,3474.2346329008205
10,hs_global_permutation,25.0,3305.9281555995535
10,hs_global_permutation,50.0,3330.901531676881
10,hs_global_permutation,100.0,3485.5895395763573
11,hs,0.0,7641.38202247191
11,hs,0.1,7594.909840930991
11,hs,1.0,7252.174119252279
11,hs,10.0,5908.735416370173
11,hs,25.0,5248.776996415622
11,hs,50.0,4862.812005239945
11,hs,100.0,4650.70935861152
11,hs_entropy,0.0,7641.38202247191
11,hs_entropy,0.1,7546.969264570761
11,hs_entropy,1.0,6897.896539689353
11,hs_entropy,10.0,5155.966658715798
11,hs_entropy,25.0,4750.276374088309
11,hs_entropy,50.0,4753.257182182601
11,hs_entropy,100.0,5005.428732472976
11,hs_log_cardinality,0.0,7641.38202247191
11,hs_log_cardinality,0.1,7546.590575271441
11,hs_log_cardinality,1.0,6892.381912770505
11,hs_log_cardinality,10.0,5144.932413177542
11,hs_log_cardinality,25.0,4748.180867764786
11,hs_log_cardinality,50.0,4761.8724887104045
11,hs_log_cardinality,100.0,5022.302889155106
11,hs_permutation,0.0,7641.38202247191
11,hs_permutation,0.1,7242.587343162478
11,hs_permutation,1.0,6716.838723174167
11,hs_permutation,10.0,5279.678829086414
11,hs_permutation,25.0,4834.502348528212
11,hs_permutation,50.0,4648.037384221573
11,hs_permutation,100.0,4611.057051045551
11,hs_global_permutation,0.0,7641.38202247191
11,hs_global_permutation,0.1,7782.9267420967035
11,hs_global_permutation,1.0,7111.883218087166
11,hs_global_permutation,10.0,5406.839845605703
11,hs_global_permutation,25.0,4864.734070074005
11,hs_global_permutation,50.0,4615.657788365928
11,hs_global_permutation,100.0,4524.295811846137
12,hs,0.0,5674.5842696629215
12,hs,0.1,5622.505530279823
12,hs,1.0,5257.663966850193
12,hs,10.0,4072.7115021338986
12,hs,25.0,3629.524787207342
12,hs,50.0,3450.1773709387426
12,hs,100.0,3450.0187524937633
12,hs_entropy,0.0,5674.5842696629215
12,hs_entropy,0.1,5580.0789896853
12,hs_entropy,1.0,4960.546686577942
12,hs_entropy,10.0,3629.4497532294904
12,hs_entropy,25.0,3516.1923212728193
12,hs_entropy,50.0,3721.0490977450286
12,hs_entropy,100.0,4130.4147942630425
12,hs_log_cardinality,0.0,5674.5842696629215
12,hs_log_cardinality,0.1,5582.278924619562
12,hs_log_cardinality,1.0,4967.486835596486
12,hs_log_cardinality,10.0,3623.478738319899
12,hs_log_cardinality,25.0,3520.569881057359
12,hs_log_cardinality,50.0,3738.749345624918
12,hs_log_cardinality,100.0,4156.410977523403
12,hs_permutation,0.0,5674.5842696629215
12,hs_permutation,0.1,5053.084464407033
12,hs_permutation,1.0,4572.332903019045
12,hs_permutation,10.0,3627.3248713281164
12,hs_permutation,25.0,3413.0912602818016
12,hs_permutation,50.0,3381.504739548154
12,hs_permutation,100.0,3480.7837903962336
12,hs_global_permutation,0.0,5674.5842696629215
12,hs_global_permutation,0.1,5027.453934527611
12,hs_global_permutation,1.0,4491.296513716309
12,hs_global_permutation,10.0,3628.9505731097183
12,hs_global_permutation,25.0,3418.490698273067
12,hs_global_permutation,50.0,3366.812871399506
12,hs_global_permutation,100.0,3449.0250921900947
13,hs,0.0,6283.988764044944
13,hs,0.1,6233.516949010369
13,hs,1.0,5856.91335148078
13,hs,10.0,4459.517277699991
13,hs,25.0,3896.0048748333757
13,hs,50.0,3687.6681220524356
13,hs,100.0,3740.9133155121267
13,hs_entropy,0.0,6283.988764044944
13,hs_entropy,0.1,6185.270028985708
13,hs_entropy,1.0,5513.652125535098
13,hs_entropy,10.0,3958.938498112766
13,hs_entropy,25.0,3880.348507019909
13,hs_entropy,50.0,4181.560275402822
13,hs_entropy,100.0,4689.583918565315
13,hs_log_cardinality,0.0,6283.988764044944
13,hs_log_cardinality,0.1,6183.693197107403
13,hs_log_cardinality,1.0,5503.751922510687
13,hs_log_cardinality,10.0,3956.648589864697
13,hs_log_cardinality,25.0,3894.9898428162032
13,hs_log_cardinality,50.0,4207.674466751475
13,hs_log_cardinality,100.0,4720.374351332614
13,hs_permutation,0.0,6283.988764044944
13,hs_permutation,0.1,6137.039355278941
13,hs_permutation,1.0,5666.992915011833
13,hs_permutation,10.0,4315.900228297756
13,hs_permutation,25.0,3906.3251657324686
13,hs_permutation,50.0,3829.7945201272987
13,hs_permutation,100.0,3975.7929647233586
13,hs_global_permutation,0.0,6283.988764044944
13,hs_global_permutation,0.1,6213.717947313461
13,hs_global_permutation,1.0,5671.268553262012
13,hs_global_permutation,10.0,4169.185934324438
13,hs_global_permutation,25.0,3739.2041750527483
13,hs_global_permutation,50.0,3661.33356110666
13,hs_global_permutation,100.0,3815.722433973804
14,hs,0.0,6045.08988764045
14,hs,0.1,5993.157493517177
14,hs,1.0,5611.364293175395
14,hs,10.0,4205.269239203735
14,hs,25.0,3591.5856967705736
14,hs,50.0,3303.0011584665062
14,hs,100.0,3236.7427070345434
14,hs_entropy,0.0,6045.08988764045
14,hs_entropy,0.1,5946.880227459281
14,hs_entropy,1.0,5279.4562075757085
14,hs_entropy,10.0,3642.8105013477903
14,hs_entropy,25.0,3397.2576834854653
14,hs_entropy,50.0,3531.7008417066922
14,hs_entropy,100.0,3885.9434762164706
14,hs_log_cardinality,0.0,6045.08988764045
14,hs_log_cardinality,0.1,5946.643421431455
14,hs_log_cardinality,1.0,5280.417158341593
14,hs_log_cardinality,10.0,3674.5404530841624
14,hs_log_cardinality,25.0,3441.9595608475697
14,hs_log_cardinality,50.0,3578.843768082287
14,hs_log_cardinality,100.0,3928.908381454814
14,hs_permutation,0.0,6045.08988764045
14,hs_permutation,0.1,5388.655548611285
14,hs_permutation,1.0,4887.932179585417
14,hs_permutation,10.0,3693.317051315541
14,hs_permutation,25.0,3326.176383545727
14,hs_permutation,50.0,3202.3842665926677
14,hs_permutation,100.0,3241.785838949521
14,hs_global_permutation,0.0,6045.08988764045
14,hs_global_permutation,0.1,5970.5213065430435
14,hs_global_permutation,1.0,5288.95060308165
14,hs_global_permutation,10.0,3712.976400444014
14,hs_global_permutation,25.0,3324.675161605159
14,hs_global_permutation,50.0,3224.191567273566
14,hs_global_permutation,100.0,3285.9321743473574
15,hs,0.0,5634.741573033708
15,hs,0.1,5593.844805468053
15,hs,1.0,5301.781698815064
15,hs,10.0,4312.007679290964
15,hs,25.0,3932.4820020376565
15,hs,50.0,3807.58417966134
15,hs,100.0,3896.5943970873245
15,hs_entropy,0.0,5634.741573033708
15,hs_entropy,0.1,5555.924681759399
15,hs_entropy,1.0,5035.140405020166
15,hs_entropy,10.0,3929.6541240589945
15,hs_entropy,25.0,3945.1008774856423
15,hs_entropy,50.0,4295.151065180958
15,hs_entropy,100.0,4867.094157906702
15,hs_log_cardinality,0.0,5634.741573033708
15,hs_log_cardinality,0.1,5555.404790545595
15,hs_log_cardinality,1.0,5026.961634802589
15,hs_log_cardinality,10.0,3907.355071638491
15,hs_log_cardinality,25.0,3942.446536058072
15,hs_log_cardinality,50.0,4312.465595372481
15,hs_log_cardinality,100.0,4896.912165456201
15,hs_permutation,0.0,5634.741573033708
15,hs_permutation,0.1,5405.995277602235
15,hs_permutation,1.0,5059.8287811211185
15,hs_permutation,10.0,4219.988249105839
15,hs_permutation,25.0,3974.138157667524
15,hs_permutation,50.0,3929.5084894568013
15,hs_permutation,100.0,4065.5649096829106
15,hs_global_permutation,0.0,5634.741573033708
15,hs_global_permutation,0.1,5332.89969904328
15,hs_global_permutation,1.0,4948.549132403213
15,hs_global_permutation,10.0,4141.721319097057
15,hs_global_permutation,25.0,3886.643209876418
15,hs_global_permutation,50.0,3841.064169216962
15,hs_global_permutation,100.0,3978.3546074847823
16,hs,0.0,6359.38202247191
16,hs,0.1,6312.071392058135
16,hs,1.0,5978.233943343819
16,hs,10.0,4780.341683388512
16,hs,25.0,4208.337240746693
16,hs,50.0,3917.9659082415
16,hs,100.0,3852.545676397746
16,hs_entropy,0.0,6359.38202247191
16,hs_entropy,0.1,6264.2259526611515
16,hs_entropy,1.0,5629.804520018962
16,hs_entropy,10.0,4109.59688323287
16,hs_entropy,25.0,3928.185285255757
16,hs_entropy,50.0,4165.585456129444
16,hs_entropy,100.0,4676.7732187349875
16,hs_log_cardinality,0.0,6359.38202247191
16,hs_log_cardinality,0.1,6264.123224350739
16,hs_log_cardinality,1.0,5621.626974751121
16,hs_log_cardinality,10.0,4089.5437356801594
16,hs_log_cardinality,25.0,3928.716657130479
16,hs_log_cardinality,50.0,4184.863462844948
16,hs_log_cardinality,100.0,4707.017333445338
16,hs_permutation,0.0,6359.38202247191
16,hs_permutation,0.1,5955.822662272487
16,hs_permutation,1.0,5347.966005699937
16,hs_permutation,10.0,4115.030923464062
16,hs_permutation,25.0,3786.2148791320074
16,hs_permutation,50.0,3705.399865081795
16,hs_permutation,100.0,3803.0336306666973
16,hs_global_permutation,0.0,6359.38202247191
16,hs_global_permutation,0.1,5985.456436970725
16,hs_global_permutation,1.0,5534.317603045336
16,hs_global_permutation,10.0,4256.365781638523
16,hs_global_permutation,25.0,3861.2904976557234
16,hs_global_permutation,50.0,3742.0735241430943
16,hs_global_permutation,100.0,3818.1354708648287
17,hs,0.0,6297.123595505618
17,hs,0.1,6244.291359994593
17,hs,1.0,5870.422329173882
17,hs,10.0,4654.273573847121
17,hs,25.0,4203.3579635682945
17,hs,50.0,4036.279426400365
17,hs,100.0,4093.398586124725
17,hs_entropy,0.0,6297.123595505618
17,hs_entropy,0.1,6205.308218003812
17,hs_entropy,1.0,5593.22086525514
17,hs_entropy,10.0,4248.739858530349
17,hs_entropy,25.0,4215.725674285148
17,hs_entropy,50.0,4550.365076236176
17,hs_entropy,100.0,5114.055303253691
17,hs_log_cardinality,0.0,6297.123595505618
17,hs_log_cardinality,0.1,6206.82328267069
17,hs_log_cardinality,1.0,5597.138917527206
17,hs_log_cardinality,10.0,4249.339585749905
17,hs_log_cardinality,25.0,4232.803724452326
17,hs_log_cardinality,50.0,4582.757829756023
17,hs_log_cardinality,100.0,5154.1479151062895
17,hs_permutation,0.0,6297.123595505618
17,hs_permutation,0.1,5736.603771771416
17,hs_permutation,1.0,5412.086401096924
17,hs_permutation,10.0,4390.086649279554
17,hs_permutation,25.0,4086.9794654370307
17,hs_permutation,50.0,4043.281747736687
17,hs_permutation,100.0,4207.572384356092
17,hs_global_permutation,0.0,6297.123595505618
17,hs_global_permutation,0.1,5658.14184500105
17,hs_global_permutation,1.0,5029.321963325434
17,hs_global_permutation,10.0,4077.747041217578
17,hs_global_permutation,25.0,3855.043513131509
17,hs_global_permutation,50.0,3844.6429331897493
17,hs_global_permutation,100.0,4036.847846027926
18,hs,0.0,5001.078651685393
18,hs,0.1,4962.336063611676
18,hs,1.0,4693.741389150143
18,hs,10.0,3837.730951631219
18,hs,25.0,3494.900323189468
18,hs,50.0,3366.965112240339
